Day_of_week,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Service_year_of_vehicle,Accident_severity
Friday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Sunday,31-50,Male,Employee,Below 1yr,1-2yr,Slight Injury
Sunday,Unknown,Female,Owner,,,Slight Injury
Saturday,Under 18,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,18-30,Male,,,,Slight Injury
Wednesday,Unknown,Male,Employee,No Licence,Unknown,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,31-50,Male,Owner,Above 10yr,,Slight Injury
Wednesday,Over 51,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Tuesday,31-50,Male,Owner,5-10yr,Above 10yr,Slight Injury
Tuesday,31-50,Male,Employee,Below 1yr,,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,,5-10yrs,Slight Injury
Thursday,Unknown,Female,Employee,1-2yr,1-2yr,Slight Injury
Wednesday,18-30,Male,Employee,1-2yr,Unknown,Slight Injury
Wednesday,Unknown,Unknown,Employee,1-2yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Thursday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Thursday,Unknown,Male,Employee,5-10yr,5-10yrs,Slight Injury
Thursday,Unknown,Male,Employee,2-5yr,2-5yrs,Slight Injury
Friday,Over 51,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Saturday,31-50,Male,Employee,1-2yr,,Slight Injury
Saturday,31-50,Male,Employee,5-10yr,,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,,Slight Injury
Saturday,31-50,Male,Employee,5-10yr,,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,31-50,Male,Employee,5-10yr,,Slight Injury
Friday,31-50,Male,Employee,5-10yr,,Slight Injury
Monday,Over 51,Male,Employee,Above 10yr,Unknown,Slight Injury
Monday,18-30,Male,Employee,1-2yr,,Slight Injury
Monday,18-30,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Tuesday,18-30,Male,Owner,1-2yr,Above 10yr,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,Below 1yr,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,Owner,2-5yr,2-5yrs,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,Below 1yr,Slight Injury
Sunday,18-30,Male,Employee,1-2yr,2-5yrs,Slight Injury
Friday,Over 51,Male,Employee,1-2yr,,Slight Injury
Friday,31-50,Male,Employee,5-10yr,,Slight Injury
Friday,18-30,Male,,,,Slight Injury
Sunday,Unknown,Male,Employee,5-10yr,,Slight Injury
Monday,Unknown,Male,Owner,5-10yr,Above 10yr,Slight Injury
Monday,Unknown,Male,Employee,5-10yr,Above 10yr,Slight Injury
Monday,Under 18,Male,Owner,5-10yr,,Slight Injury
Monday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Monday,18-30,Male,Owner,1-2yr,,Slight Injury
Thursday,Unknown,Female,Employee,2-5yr,Unknown,Slight Injury
Thursday,31-50,Male,Owner,5-10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Owner,Above 10yr,Unknown,Slight Injury
Monday,Unknown,Male,Employee,5-10yr,Unknown,Slight Injury
Wednesday,18-30,Male,Owner,2-5yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Friday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Friday,Unknown,Male,Employee,1-2yr,,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,Unknown,Male,,,,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Thursday,31-50,Male,Employee,Below 1yr,,Slight Injury
Tuesday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,31-50,Male,Owner,1-2yr,2-5yrs,Slight Injury
Monday,Unknown,Male,Owner,5-10yr,Above 10yr,Slight Injury
Thursday,Unknown,Female,Employee,2-5yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,2-5yr,Above 10yr,Slight Injury
Sunday,Unknown,Female,Employee,2-5yr,Below 1yr,Slight Injury
Saturday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Saturday,Unknown,Male,Employee,1-2yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,,Slight Injury
Saturday,31-50,Male,Employee,5-10yr,,Slight Injury
Friday,Over 51,Male,Employee,1-2yr,1-2yr,Slight Injury
Friday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Thursday,Unknown,Male,Employee,2-5yr,Unknown,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Monday,Unknown,Male,Employee,Below 1yr,,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Tuesday,31-50,Male,Owner,5-10yr,5-10yrs,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Friday,Under 18,Male,Employee,1-2yr,Unknown,Slight Injury
Friday,Unknown,Male,,,,Slight Injury
Thursday,31-50,Male,Owner,5-10yr,Above 10yr,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Sunday,Over 51,Male,,,Above 10yr,Slight Injury
Sunday,18-30,Male,,,5-10yrs,Slight Injury
Friday,31-50,Male,Owner,1-2yr,,Serious Injury
Friday,31-50,Male,Employee,1-2yr,,Serious Injury
Saturday,31-50,Male,Employee,1-2yr,5-10yrs,Slight Injury
Sunday,31-50,Male,Employee,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Employee,1-2yr,,Slight Injury
Tuesday,Unknown,Male,Owner,Above 10yr,Above 10yr,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,1-2yr,Slight Injury
Monday,31-50,Male,Employee,1-2yr,2-5yrs,Slight Injury
Tuesday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Tuesday,Over 51,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,1-2yr,Above 10yr,Slight Injury
Thursday,Under 18,Male,Employee,5-10yr,1-2yr,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,,Slight Injury
Friday,31-50,Male,Other,5-10yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,Above 10yr,Slight Injury
Sunday,Unknown,Male,Employee,5-10yr,5-10yrs,Slight Injury
Sunday,Over 51,Male,Employee,Above 10yr,,Slight Injury
Sunday,Over 51,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Sunday,Over 51,Male,Owner,2-5yr,,Slight Injury
Sunday,Over 51,Male,Employee,5-10yr,,Slight Injury
Sunday,Unknown,Female,Owner,1-2yr,,Slight Injury
Saturday,31-50,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Saturday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,,Slight Injury
Sunday,31-50,Male,Employee,Above 10yr,,Slight Injury
Sunday,Over 51,Male,Employee,Above 10yr,Below 1yr,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,5-10yrs,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,,Slight Injury
Monday,Unknown,Male,Employee,Above 10yr,1-2yr,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Saturday,Unknown,Male,Owner,Above 10yr,,Slight Injury
Tuesday,Over 51,Male,Other,Above 10yr,2-5yrs,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,,Slight Injury
Tuesday,Unknown,Male,,,,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,Above 10yr,Slight Injury
Thursday,Unknown,Female,Employee,5-10yr,5-10yrs,Slight Injury
Friday,Under 18,Male,Owner,Below 1yr,,Slight Injury
Friday,Unknown,Male,Employee,5-10yr,Unknown,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,,Slight Injury
Sunday,Under 18,Male,Owner,2-5yr,2-5yrs,Slight Injury
Sunday,Under 18,Male,Employee,2-5yr,2-5yrs,Slight Injury
Sunday,Unknown,Female,Owner,2-5yr,Unknown,Slight Injury
Tuesday,Over 51,Male,Employee,Above 10yr,,Slight Injury
Tuesday,Unknown,Male,Employee,2-5yr,Below 1yr,Slight Injury
Saturday,Unknown,Male,Employee,1-2yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,2-5yrs,Slight Injury
Saturday,Unknown,Male,Employee,5-10yr,,Slight Injury
Monday,Over 51,Male,Employee,5-10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Owner,2-5yr,5-10yrs,Slight Injury
Wednesday,31-50,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,,,,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Saturday,31-50,Male,Employee,1-2yr,,Slight Injury
Saturday,31-50,Male,Owner,5-10yr,,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,1-2yr,Slight Injury
Saturday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Sunday,Over 51,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Sunday,Over 51,Male,Employee,2-5yr,Unknown,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Owner,1-2yr,Above 10yr,Slight Injury
Saturday,Under 18,Male,Employee,5-10yr,2-5yrs,Slight Injury
Friday,31-50,Male,Other,,1-2yr,Serious Injury
Friday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Friday,31-50,Male,Employee,1-2yr,,Slight Injury
Friday,31-50,Male,Employee,5-10yr,1-2yr,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,Over 51,Male,Employee,No Licence,Unknown,Slight Injury
Sunday,18-30,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Sunday,Unknown,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,,Slight Injury
Thursday,Unknown,Male,Employee,2-5yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Owner,2-5yr,,Slight Injury
Monday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Tuesday,31-50,Male,Owner,Above 10yr,1-2yr,Slight Injury
Tuesday,Unknown,Male,Employee,Above 10yr,Unknown,Slight Injury
Thursday,Over 51,Male,Employee,2-5yr,,Slight Injury
Thursday,Unknown,Male,Employee,2-5yr,,Slight Injury
Wednesday,Over 51,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,Below 1yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Thursday,31-50,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Friday,Under 18,Male,Employee,5-10yr,,Slight Injury
Friday,31-50,Male,Owner,5-10yr,Unknown,Slight Injury
Sunday,Over 51,Male,Owner,5-10yr,Above 10yr,Slight Injury
Sunday,Unknown,Male,Employee,5-10yr,Unknown,Slight Injury
Monday,18-30,Male,Employee,2-5yr,Unknown,Serious Injury
Monday,31-50,Male,Employee,5-10yr,2-5yrs,Serious Injury
Monday,18-30,Male,Employee,2-5yr,,Slight Injury
Monday,Unknown,Male,Employee,Below 1yr,5-10yrs,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,Under 18,Male,Employee,2-5yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,,Slight Injury
Sunday,31-50,Male,Employee,,,Slight Injury
Sunday,31-50,Male,Owner,5-10yr,,Slight Injury
Sunday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,Over 51,Male,Employee,Below 1yr,Below 1yr,Slight Injury
Wednesday,Unknown,Male,Employee,1-2yr,,Slight Injury
Thursday,Under 18,Male,Employee,Below 1yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Tuesday,31-50,Male,Employee,Below 1yr,Unknown,Slight Injury
Tuesday,Unknown,Male,Employee,2-5yr,Unknown,Slight Injury
Monday,31-50,Male,Employee,1-2yr,,Slight Injury
Wednesday,Unknown,Female,Employee,5-10yr,,Slight Injury
Tuesday,Unknown,Male,Owner,Below 1yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,Unknown,Slight Injury
Friday,Over 51,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Friday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Monday,18-30,Male,Owner,5-10yr,Unknown,Slight Injury
Monday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
Monday,Unknown,Male,Owner,Below 1yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Monday,31-50,Male,Employee,2-5yr,Unknown,Slight Injury
Monday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Monday,Under 18,Male,Employee,5-10yr,,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,Unknown,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,2-5yrs,Serious Injury
Friday,Over 51,Male,Employee,Below 1yr,Unknown,Slight Injury
Sunday,Unknown,Female,Employee,Below 1yr,Above 10yr,Slight Injury
Friday,18-30,Male,Owner,5-10yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,2-5yrs,Slight Injury
Sunday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,Above 10yr,,Slight Injury
Thursday,31-50,Male,Employee,Above 10yr,1-2yr,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Tuesday,Unknown,Female,Employee,1-2yr,Below 1yr,Slight Injury
Thursday,Unknown,Male,Employee,5-10yr,Unknown,Slight Injury
Thursday,Unknown,Male,Employee,5-10yr,,Slight Injury
Wednesday,Unknown,Female,Employee,1-2yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Owner,5-10yr,,Slight Injury
Wednesday,18-30,Male,Owner,Above 10yr,,Serious Injury
Wednesday,31-50,Male,Owner,Below 1yr,,Serious Injury
Monday,31-50,Male,Owner,5-10yr,,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Monday,31-50,Male,Employee,Below 1yr,2-5yrs,Serious Injury
Monday,31-50,Male,Employee,1-2yr,2-5yrs,Serious Injury
Friday,31-50,Male,Employee,Above 10yr,Unknown,Slight Injury
Friday,18-30,Male,Owner,Above 10yr,5-10yrs,Slight Injury
Sunday,Unknown,Female,Employee,Above 10yr,Unknown,Slight Injury
Friday,18-30,Male,Employee,No Licence,Unknown,Slight Injury
Wednesday,Unknown,Female,Employee,1-2yr,Unknown,Slight Injury
Monday,18-30,Male,Owner,1-2yr,Unknown,Slight Injury
Monday,31-50,Male,Owner,Below 1yr,5-10yrs,Slight Injury
Friday,18-30,Male,Owner,1-2yr,Unknown,Slight Injury
Friday,Unknown,Female,Owner,2-5yr,,Slight Injury
Thursday,Over 51,Male,Owner,5-10yr,,Serious Injury
Thursday,31-50,Male,Owner,Above 10yr,,Slight Injury
Thursday,18-30,Male,Owner,2-5yr,,Slight Injury
Thursday,31-50,Male,Owner,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Owner,5-10yr,Below 1yr,Slight Injury
Tuesday,18-30,Male,Owner,,1-2yr,Slight Injury
Thursday,18-30,Male,Owner,5-10yr,,Slight Injury
Thursday,18-30,Male,Owner,Below 1yr,1-2yr,Slight Injury
Thursday,18-30,Male,Owner,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Wednesday,Unknown,Female,Employee,5-10yr,,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,Unknown,Serious Injury
Tuesday,31-50,Male,Employee,Above 10yr,,Serious Injury
Friday,31-50,Male,Owner,,Unknown,Slight Injury
Friday,18-30,Male,Owner,5-10yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,Below 1yr,,Slight Injury
Saturday,Unknown,Female,,,,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Wednesday,Over 51,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,5-10yrs,Serious Injury
Wednesday,31-50,Male,Employee,Above 10yr,2-5yrs,Serious Injury
Tuesday,31-50,Male,Employee,Above 10yr,,Serious Injury
Tuesday,Over 51,Male,Employee,Above 10yr,2-5yrs,Serious Injury
Tuesday,18-30,Male,Employee,Above 10yr,,Serious Injury
Tuesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,Unknown,Female,Employee,2-5yr,2-5yrs,Slight Injury
Friday,Unknown,Female,Employee,Below 1yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,Below 1yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,Unknown,Female,Employee,Below 1yr,,Slight Injury
Thursday,Over 51,Male,Employee,Below 1yr,,Slight Injury
Thursday,18-30,Male,Employee,,,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,,Serious Injury
Tuesday,18-30,Male,Employee,Below 1yr,,Serious Injury
Saturday,18-30,Male,Employee,1-2yr,Below 1yr,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Monday,18-30,Male,Employee,Above 10yr,,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,5-10yrs,Slight Injury
Saturday,18-30,Male,Employee,2-5yr,Unknown,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,18-30,Male,Employee,Above 10yr,1-2yr,Slight Injury
Tuesday,Unknown,Female,Employee,2-5yr,Above 10yr,Slight Injury
Tuesday,Unknown,Female,Employee,2-5yr,2-5yrs,Slight Injury
Tuesday,Unknown,Female,Employee,1-2yr,1-2yr,Slight Injury
Thursday,Over 51,Male,Employee,5-10yr,1-2yr,Slight Injury
Saturday,31-50,Male,Employee,Below 1yr,1-2yr,Slight Injury
Wednesday,31-50,Male,Employee,Below 1yr,2-5yrs,Slight Injury
Wednesday,18-30,Male,Employee,,1-2yr,Slight Injury
Saturday,18-30,Male,Employee,Below 1yr,1-2yr,Slight Injury
Thursday,Unknown,Female,Employee,1-2yr,Unknown,Serious Injury
Saturday,31-50,Male,Employee,2-5yr,,Slight Injury
Saturday,18-30,Male,Employee,1-2yr,1-2yr,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,1-2yr,Slight Injury
Tuesday,18-30,Male,Employee,Below 1yr,Below 1yr,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,,Slight Injury
Tuesday,18-30,Male,Owner,5-10yr,,Slight Injury
Thursday,18-30,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Thursday,Unknown,Male,Employee,5-10yr,,Slight Injury
Friday,31-50,Male,Owner,5-10yr,,Slight Injury
Friday,Unknown,Unknown,Employee,2-5yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,2-5yrs,Slight Injury
Monday,31-50,Male,Employee,5-10yr,2-5yrs,Slight Injury
Tuesday,Over 51,Male,Employee,1-2yr,,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,2-5yrs,Slight Injury
Saturday,31-50,Male,Employee,2-5yr,,Slight Injury
Saturday,Unknown,Female,Employee,Below 1yr,,Slight Injury
Thursday,18-30,Male,Employee,Below 1yr,Above 10yr,Slight Injury
Thursday,Unknown,Female,Employee,5-10yr,2-5yrs,Slight Injury
Monday,31-50,Unknown,Owner,5-10yr,Above 10yr,Slight Injury
Thursday,18-30,Unknown,Employee,1-2yr,Above 10yr,Slight Injury
Thursday,18-30,Male,Employee,,,Slight Injury
Tuesday,18-30,Male,Employee,Above 10yr,Above 10yr,Slight Injury
Tuesday,31-50,Male,Owner,1-2yr,,Slight Injury
Tuesday,31-50,Male,,,,Slight Injury
Friday,Over 51,Male,Employee,Above 10yr,Above 10yr,Serious Injury
Sunday,Over 51,Male,Owner,2-5yr,5-10yrs,Slight Injury
Sunday,18-30,Male,Employee,5-10yr,Below 1yr,Slight Injury
Sunday,31-50,Male,Employee,Below 1yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,Unknown,Female,Employee,Above 10yr,,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,,Slight Injury
Thursday,Over 51,Male,Employee,,,Slight Injury
Thursday,Over 51,Male,Employee,1-2yr,Unknown,Slight Injury
Thursday,31-50,Male,Owner,1-2yr,Below 1yr,Slight Injury
Tuesday,31-50,Male,Owner,1-2yr,Unknown,Slight Injury
Tuesday,Unknown,Female,Owner,5-10yr,,Slight Injury
Saturday,18-30,Male,Employee,5-10yr,Unknown,Slight Injury
Saturday,Unknown,Female,Employee,5-10yr,,Slight Injury
Friday,31-50,Male,Owner,Below 1yr,,Slight Injury
Friday,18-30,Male,Employee,Above 10yr,,Slight Injury
Thursday,18-30,Male,Employee,5-10yr,,Serious Injury
Thursday,31-50,Male,Employee,Below 1yr,2-5yrs,Serious Injury
Thursday,Unknown,Female,Employee,Above 10yr,,Slight Injury
Tuesday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Tuesday,31-50,Male,Owner,Above 10yr,,Slight Injury
Wednesday,Over 51,Male,Employee,5-10yr,Unknown,Slight Injury
Wednesday,Under 18,Male,Employee,1-2yr,5-10yrs,Slight Injury
Thursday,Over 51,Male,Employee,1-2yr,,Serious Injury
Thursday,18-30,Male,Employee,1-2yr,,Serious Injury
Wednesday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Owner,Above 10yr,Unknown,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,18-30,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,Other,No Licence,,Slight Injury
Monday,Over 51,Male,Employee,1-2yr,,Slight Injury
Thursday,31-50,Male,Owner,5-10yr,,Slight Injury
Tuesday,18-30,Male,Employee,1-2yr,5-10yrs,Slight Injury
Tuesday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Wednesday,31-50,Male,Employee,1-2yr,2-5yrs,Slight Injury
Wednesday,31-50,Male,Employee,1-2yr,,Slight Injury
Wednesday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,1-2yr,,Slight Injury
Wednesday,31-50,Male,Employee,1-2yr,5-10yrs,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,5-10yrs,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,,Slight Injury
Wednesday,31-50,Male,Employee,Above 10yr,,Slight Injury
Wednesday,31-50,Male,Employee,1-2yr,Above 10yr,Slight Injury
Wednesday,31-50,Male,Employee,5-10yr,Unknown,Slight Injury
Wednesday,31-50,Male,Owner,2-5yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,2-5yr,Below 1yr,Slight Injury
Tuesday,Over 51,Male,Employee,5-10yr,Unknown,Slight Injury
Tuesday,18-30,Male,Employee,5-10yr,,Slight Injury
Tuesday,Over 51,Male,Employee,2-5yr,,Slight Injury
Wednesday,18-30,Male,Employee,Above 10yr,,Slight Injury
Friday,Unknown,Female,Employee,5-10yr,,Slight Injury
Friday,Unknown,Male,Employee,Above 10yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Friday,31-50,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,,Slight Injury
Thursday,18-30,Male,Employee,1-2yr,5-10yrs,Slight Injury
Friday,31-50,Male,Employee,5-10yr,Above 10yr,Slight Injury
Friday,31-50,Male,Employee,2-5yr,5-10yrs,Slight Injury
Thursday,Over 51,Male,Employee,1-2yr,2-5yrs,Slight Injury
Thursday,18-30,Male,Employee,1-2yr,,Slight Injury
Wednesday,31-50,Male,Employee,No Licence,Above 10yr,Slight Injury
Wednesday,Unknown,Female,Owner,5-10yr,5-10yrs,Slight Injury
Thursday,31-50,Male,Employee,1-2yr,Unknown,Slight Injury
Thursday,31-50,Male,Employee,2-5yr,,Slight Injury
Thursday,31-50,Male,Employee,5-10yr,,Slight Injury
Thursday,18-30,Male,,,,Slight Injury
Sunday,18-30,Male,,,,Slight Injury
Sunday,18-30,Male,Employee,2-5yr,,Slight Injury
Monday,31-50,Male,Employee,Above 10yr,,Slight Injury
Monday,31-50,Male,Owner,Above 10yr,,Slight Injury
Monday,31-50,Male,,,2-5yrs,Slight Injury
Monday,31-50,Male,Owner,Above 10yr,2-5yrs,Slight Injury
Friday,31-50,Male,,,,Slight Injury
